"Timestamp","What is your age?","Which Social Media platform/s do you like the most or use the most?","How much time do you spend on social media in a day?(hrs)","How much time do you spend on physical activities in a day?(hrs)","How much do you feel that you are exposed to inappropriate content on these platforms?","Have you ever been a victim of any of these cyber crimes?","Which type of communication do you generally prefer?"
"2022/01/17 9:53:06 pm GMT+5:30","16","Twitter;Facebook;Instagram","1 to 2.5","None","8","Fake profiles;None","Text message;Face to face"
"2022/01/17 9:53:15 pm GMT+5:30","11","Instagram","Up to 4","None","7","Hacking;None",""
"2022/01/17 9:53:19 pm GMT+5:30","70","Whatsapp","Up to 4","Up to 4","0","Fake profiles;Hacking","Through social media"
"2022/01/17 9:53:28 pm GMT+5:30","28","Facebook;Youtube;Snapchat","More than 4","None","0","Hacking;None","Through phone;Face to face"
"2022/01/17 9:53:32 pm GMT+5:30","42","Twitter;Whatsapp;Instagram","1 to 2.5","None","8","Hacking;None","Through phone"
"2022/01/17 9:53:41 pm GMT+5:30","27","Twitter","1 to 2.5","Less than 1","0","Photos being misused;Hacking","Text message;Through social media"
"2022/01/17 9:53:54 pm GMT+5:30","53","Snapchat","More than 4","None","0","Fake profiles;Hacking",""
"2022/01/17 9:54:06 pm GMT+5:30","45","Facebook;Instagram;Youtube","More than 4","Up to 4","0","Photos being misused;None",""
"2022/01/17 9:57:09 pm GMT+5:30","70","Whatsapp;Facebook;Youtube","More than 4","1 to 2.5","3","Fake profiles;Hacking","Through phone"
"2022/01/17 9:57:13 pm GMT+5:30","26","Twitter;Whatsapp;Youtube","1 to 2.5","Less than 1","6","Photos being misused;None","Through phone"
"2022/01/17 9:57:22 pm GMT+5:30","16","Youtube","Up to 4","1 to 2.5","2","Photos being misused;Hacking","Face to face"
"2022/01/17 9:57:30 pm GMT+5:30","33","Twitter;Facebook;Instagram","1 to 2.5","Less than 1","7","Fake profiles;None",""
"2022/01/17 9:57:43 pm GMT+5:30","39","Facebook;Youtube;Hike","1 to 2.5","Up to 4","3","Photos being misused;None","Text message"
"2022/01/17 9:57:48 pm GMT+5:30","47","Facebook;Instagram;Snapchat","More than 4","None","9","Photos being misused;Hacking",""
"2022/01/17 9:57:52 pm GMT+5:30","22","Twitter;Whatsapp;Instagram","Up to 4","More than 4","5","Fake profiles;Photos being misused","Text message;Through social media"
"2022/01/17 9:57:57 pm GMT+5:30","28","Facebook;Youtube;Hike","More than 4","More than 4","8","Photos being misused;Hacking","Through phone"
"2022/01/17 9:58:01 pm GMT+5:30","70","Instagram","1 to 2.5","1 to 2.5","10","Fake profiles;Photos being misused","Through social media"
